Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
935204,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Polk,"Lake Mariana, unspecified location",28.0756,-81.76289,reported,Accurate,Peace,3100101,2008,3,12,established,Numerous egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935232,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Sarasota,"Sarasota, canal N of Webber St appx 1.0 km W of Cattlemen Rd",27.30925,-82.46183,reported,Accurate,Sarasota Bay,3100201,2008,6,23,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935340,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Sarasota,"Cosmic Waterway, behind 5923 Imbe St North Port",27.11119,-82.17616,reported,Accurate,Myakka,3100102,2011,5,15,established,Abundant,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935162,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Sarasota,"Sarasota, 6000 Cattleridge Drive",27.30517,-82.45022,reported,Accurate,Sarasota Bay,3100201,2006,10,10,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935415,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Sarasota,"Canal, North Port vicinity of Estates Dr and Ponce De Leon Blvd",27.12152,-82.23375,reported,Accurate,Myakka,3100102,2014,6,26,established,Multiple,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935368,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Sarasota,"Lake Myakka, unspecified location",27.27477,-82.28558,reported,Accurate,Myakka,3100102,2012,9,23,established,Numerous,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935157,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Seminole,"Cranes Roost Lake, unspecified location",28.66684,-81.3849,reported,Accurate,Upper St. Johns,3080101,2006,9,15,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935041,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Seminole,"Lake Wayman, unspecified location",28.70604,-81.33228,reported,Accurate,Upper St. Johns,3080101,2005,9,21,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935042,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Seminole,"Lake Brantley, unspecified location",28.69142,-81.42206,reported,Accurate,Upper St. Johns,3080101,2005,9,24,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935342,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Seminole,"Lake Myrtle, middle canal",28.72302,-81.36475,reported,Accurate,Upper St. Johns,3080101,2011,6,28,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935220,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Seminole,"Little Wekiva River, SJRWMD sampling site LWR4 at the N end of Yew Ct",28.65362,-81.40822,reported,Accurate,Upper St. Johns,3080101,2008,5,20,established,appx 12 egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159062,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Seminole,Lake Brantley [~3 mi NW of Altamonte Springs],28.6917,-81.4214,GNIS,Accurate,Upper St. Johns,3080101,2004,6,22,established,Large adults and many egg masses observed.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934898,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Seminole,"Lake Brantley, unspecified location",28.69142,-81.42206,reported,Accurate,Upper St. Johns,3080101,2004,6,29,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934934,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Seminole,"Rock Lake, unspecified location",28.70357,-81.36814,reported,Accurate,Upper St. Johns,3080101,2005,7,5,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
